Company name ,Codeshare Partner
Air Wisconsin,American Airlines Branded Codeshare Partners
Alaska Airlines,American Airlines Branded Codeshare Partners
Allegiant Air LLC ,American Airlines Branded Codeshare Partners
American Airlines,American Airlines Branded Codeshare Partners
Champlain Air ,American Airlines Branded Codeshare Partners
Compass Airlines ,American Airlines Branded Codeshare Partners
"Delta Air Lines, Inc. ",American Airlines Branded Codeshare Partners
Empire Airline ,American Airlines Branded Codeshare Partners
Endeavor Air ,American Airlines Branded Codeshare Partners
Envoy Air ,American Airlines Branded Codeshare Partners
ExpressJet Airlines,American Airlines Branded Codeshare Partners
ExpressJet Airlines,American Airlines Branded Codeshare Partners
"Frontier Airlines, Inc. ",American Airlines Branded Codeshare Partners
GoJet Airlines,American Airlines Branded Codeshare Partners
GoJet Airlines ,American Airlines Branded Codeshare Partners
Hawaiian Airlines Inc. ,American Airlines Branded Codeshare Partners
Horizon Air ,American Airlines Branded Codeshare Partners
Jetblue Airways Corporation ,Alaska Airlines Branded Codeshare Partners
Jetstream Intl ,Alaska Airlines Branded Codeshare Partners
Mesa Airlines,Alaska Airlines Branded Codeshare Partners
Mesa Airlines,Alaska Airlines Branded Codeshare Partners
"Mesa Airlines, Inc. ",Delta Air Lines Branded Codeshare Partners
Penair ,Delta Air Lines Branded Codeshare Partners
Peninsula Airways,Delta Air Lines Branded Codeshare Partners
Piedmont Airlines ,Delta Air Lines Branded Codeshare Partners
PSA Airlines,Delta Air Lines Branded Codeshare Partners
Republic Airline,Delta Air Lines Branded Codeshare Partners
Republic Airline,Delta Air Lines Branded Codeshare Partners
Republic Airlines ,Hawaiian Airlines Branded Codeshare Partners
SkyWest Airlines,Hawaiian Airlines Branded Codeshare Partners
SkyWest Airlines,United Airlines Branded Codeshare Partners
SkyWest Airlines,United Airlines Branded Codeshare Partners
Skywest Airlines ,United Airlines Branded Codeshare Partners
Southwest Airlines ,United Airlines Branded Codeshare Partners
"Spirit Airlines, Inc. ",United Airlines Branded Codeshare Partners
Trans State ,United Airlines Branded Codeshare Partners
"United Airlines, Inc. ",United Airlines Branded Codeshare Partners
